episode,total_reward
843.0,-351.68622813797515
844.0,-148.69868278541603
845.0,-339.69416368653566
846.0,-363.70911008172453
847.0,-504.23461541878635
848.0,-354.0741407739212
849.0,-417.9640751227774
850.0,-464.54863704131765
851.0,-450.01874348942266
852.0,31.49021506918885
853.0,-382.57797584588155
854.0,-388.92342077677745
855.0,-281.8275497056642
856.0,-325.849256090515
857.0,-336.3552844059315
858.0,-292.4093242022174
859.0,-285.379155631175
860.0,-271.6518526381538
861.0,-272.9828617149322
862.0,-252.78605150570024
863.0,-249.88796865106684
864.0,-275.18728757789233
865.0,-268.9778371912841
866.0,-249.32884605379832
867.0,-244.52114325083653
868.0,-234.03750134637582
869.0,-228.4913635855717
870.0,-226.81158178237504
871.0,-214.9086618364455
872.0,-211.98692089300772
873.0,-218.52836516389186
874.0,-216.2300827594854
875.0,-204.6940598340439
876.0,-205.05825621632744
877.0,-125.7511688794889
878.0,-185.1110304786318
879.0,-199.5010223903461
880.0,-187.50623505303258
881.0,-217.7215654593692
882.0,-186.72484168197622
883.0,-181.0575448413674
884.0,-202.0376949990945
885.0,-221.79151678263534
886.0,-204.60215924880734
887.0,-207.0150509250021
888.0,-208.14668281679954
889.0,-203.66695338046583
890.0,-187.6213153412815
891.0,-209.09634901785446
892.0,-208.65997545952453
893.0,-212.63614576531094
894.0,-203.09276606615995
895.0,-223.94264509462343
896.0,-223.1810428849701
897.0,-220.04683690860023
898.0,-223.307493157839
899.0,-206.13190624093573
900.0,-206.21361291098768
901.0,-137.17350475995218
902.0,-66.96859455048276
903.0,-189.44859426732503
904.0,-188.83048313163465
905.0,-204.13004082313023
906.0,-162.1602167569557
907.0,-0.5608607213185842
908.0,-188.59987401298937
909.0,-57.969981982907164
910.0,-210.7299182265675
911.0,242.49500826799286
912.0,-216.44174529007367
913.0,-242.5557674890635
914.0,-233.26990708475736
915.0,-246.13791461699384
916.0,-230.03466813559055
917.0,-235.3206012493053
918.0,-206.44746056854962
919.0,-254.27645099755603
920.0,-169.55611505412912
921.0,88.94620862092144
922.0,-200.3123827571264
923.0,-214.64065650687604
924.0,84.49814036608961
925.0,-177.40941482001358
926.0,-155.9050375029365
927.0,-182.28536512285987
928.0,-207.25015484379892
929.0,-214.28262637560874
930.0,-239.11739073623144
931.0,65.95107984385874
932.0,122.39758313309774
933.0,64.72091382221777
934.0,-127.33586548564205
935.0,-179.02197145816567
936.0,93.21590761327214
937.0,-182.03404017319843
938.0,-208.27038679002564
939.0,-185.30216335699316
940.0,131.12648239553846
941.0,65.82500052405264
942.0,-145.73848194957125
943.0,-226.06988181106107
944.0,70.04635491177609
945.0,-68.09910013793812
946.0,180.01078721428672
947.0,-165.52904604932826
948.0,-225.42550349766253
949.0,-167.10282470213758
950.0,-152.56336180807224
951.0,-24.924850806675884
952.0,-93.11734124862913
953.0,-67.39782099645446
954.0,-114.23956183203111
955.0,-27.8091487187909
956.0,134.2640206880865
957.0,108.84435730324287
958.0,136.08375611839398
959.0,168.27372912558386
960.0,258.2276190708558
961.0,-17.818999572516258
962.0,143.84314748217736
963.0,44.39544959719906
964.0,-17.404704816608366
965.0,1.2791917094077867
966.0,-1.4624396447143528
967.0,30.455585300520838
968.0,-36.33737964137871
969.0,-34.273837149112865
970.0,-131.8496798798602
971.0,204.16031071162627
972.0,-104.23445545662426
973.0,-141.82675628471068
974.0,77.61954441381073
975.0,-107.55143465443136
976.0,62.968024297807254
977.0,-136.53632689898717
978.0,0.9656028932786407
979.0,82.80679573373675
980.0,-122.98381599644358
981.0,-13.098807924169042
982.0,-58.99014103174948
983.0,128.90146484224655
984.0,-5.958460924256621
985.0,-99.17313119031694
986.0,11.541527682426258
987.0,-25.325506082580098
988.0,-81.5422778565092
989.0,-18.517403704088114
990.0,2.6475271876381403
991.0,7.455182841945634
992.0,43.748305039423705
993.0,106.49851595512983
994.0,168.23417157145062
995.0,-46.98923020361764
996.0,-169.89030160979473
997.0,-176.75276141938892
998.0,-128.36450313204378
999.0,-377.64774400313456
1000.0,-392.4672052371831
1001.0,-309.9191205034439
1002.0,40.842962691278515
1003.0,0.5403384358826901
1004.0,-121.54965588592891
1005.0,15.25465500957014
1006.0,342.9681919118543
1007.0,249.18747290905662
1008.0,-90.33385238184093
1009.0,-114.50267477747305
1010.0,-30.78171633208702
1011.0,-186.33554219462263
1012.0,-210.223324301623
1013.0,-248.7178121274321
1014.0,-186.66003547953866
1015.0,-201.48518810672647
1016.0,-107.18013057794903
1017.0,-141.16820938934032
1018.0,-119.34469992310015
1019.0,-70.99524980117772
1020.0,-16.58094941922165
1021.0,51.93610595277144
1022.0,-55.01564697236985
1023.0,-90.32070072821234
1024.0,-110.32340397282897
1025.0,-106.04387076066438
1026.0,-116.90258706550266
1027.0,-89.58943312681838
1028.0,-120.97823109556884
1029.0,-116.18355067741335
1030.0,-24.8352847376814
1031.0,-18.962467160708076
1032.0,-46.63033322975083
1033.0,-109.91653486468834
1034.0,-17.73329136325687
1035.0,-57.167676483198434
1036.0,9.12453553499653
1037.0,-239.69898940680707
1038.0,-179.59471204444134
1039.0,-66.31610403042586
1040.0,-70.4581639850982
1041.0,-79.13058784450517
1042.0,-80.4052065279368
1043.0,-20.309501425310795
1044.0,-27.869495523498912
1045.0,52.20287096374114
1046.0,-9.87316875691978
